,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
1790,bdd802537a9d6378db9a9bbe0ba08cf6,krakow,,57.0,2.0,1.0,5.0,2006.0,50.09399,19.95315,4.43,11.0,0.436,0.305,0.312,0.308,0.182,2.023,0.131,condominium,,,no,yes,no,no,no,2600
1791,d71fc8dd9e65eb06b2bda6ac39a4b18b,krakow,apartmentBuilding,25.0,1.0,1.0,2.0,2022.0,50.06373,19.96199,1.92,22.0,0.146,0.305,0.351,0.368,0.353,0.103,0.128,condominium,brick,,yes,yes,no,no,no,2100
1792,45854ec993ad3a170e8aa6b32539cfe4,krakow,blockOfFlats,26.7,1.0,1.0,4.0,1985.0,50.0600273,19.9389841,0.53,196.0,0.217,0.626,0.162,0.309,0.023,0.485,0.145,condominium,,,no,yes,no,no,no,1850
1793,534ede79bcbcdf14b8da2ae477dd599b,krakow,apartmentBuilding,35.0,2.0,1.0,7.0,2020.0,50.0670404,19.9836749,3.48,8.0,0.667,0.16,0.429,0.148,0.171,1.578,0.667,condominium,brick,premium,yes,yes,yes,no,no,3200
1794,c6be92ef5989eee991136fead54e57ed,krakow,apartmentBuilding,37.4,2.0,,2.0,2002.0,50.0865,19.9621,3.86,16.0,0.514,0.371,0.204,0.232,0.265,2.32,0.281,condominium,brick,,no,yes,no,no,no,2700
1795,cb0e827686241b259e74dfbb42e6b06d,krakow,apartmentBuilding,30.0,2.0,5.0,5.0,2023.0,50.04468336,19.94945526,1.42,49.0,0.136,0.592,0.099,0.502,0.038,0.852,0.075,condominium,brick,,no,no,yes,no,no,3200
1796,3cd6ef2e0fa2261617512f1961df8519,krakow,apartmentBuilding,59.0,2.0,5.0,7.0,2015.0,50.0568579,19.9608047,1.61,19.0,0.225,0.238,0.402,0.226,0.042,0.485,0.268,condominium,brick,premium,yes,yes,yes,no,no,4000
1797,aaf602dbab00f45ffb0429d50273a176,krakow,,30.0,1.0,,3.0,2023.0,50.031727,19.9683002,3.38,4.0,0.954,1.316,0.303,0.323,0.43,2.712,0.257,condominium,brick,premium,no,no,no,no,no,2099
1798,d88f7acd32595bf23b7a7381b8ff1c8b,krakow,apartmentBuilding,32.0,1.0,,5.0,,50.0713956,19.954938,2.14,14.0,0.444,0.328,0.414,0.4,0.252,0.899,0.174,condominium,brick,premium,no,no,yes,no,no,2500
1799,1d4f86bb3d50c602c72f02dad57853f2,krakow,tenement,78.0,4.0,,4.0,,50.0665591,19.9267101,1.51,57.0,0.13,0.566,0.479,0.096,0.084,0.371,0.278,condominium,brick,premium,no,no,,no,no,4000
